bet_id,user_id,bet_type,sport,odds,is_win,stake,gain,GGR
bet_00084,35,single,Football,1.1,True,124.7,137.17,-12.47
bet_00085,1338,single,Basketball,1.37,False,289.0,0.0,289.0
bet_00086,1033,single,Table Tennis,4.14,False,24.15,0.0,24.15
bet_00087,626,single,Ice Hockey,1.1,False,59.5,0.0,59.5
bet_00088,4174,single,Volleyball,3.96,False,174.05,0.0,174.05
bet_00089,2233,single,Ice Hockey,2.44,False,7.3,0.0,7.3
bet_00090,4779,single,Volleyball,7.61,True,151.25,1151.01,-999.76
bet_00091,4311,multiple,Football,3.08,False,44.8,0.0,44.8
bet_00092,3314,multiple,Football,1.42,True,7.45,10.58,-3.13
bet_00093,147,single,Football,4.1,True,39.85,163.38,-123.53
bet_00094,1461,single,Football,2.43,True,32.45,78.85,-46.4
bet_00095,3739,multiple,Snooker,9.18,False,13.05,0.0,13.05
bet_00096,4344,single,Basketball,4.5,False,44.75,0.0,44.75
bet_00097,4584,multiple,Tennis,8.6,False,41.75,0.0,41.75
bet_00098,4173,single,Baseball,5.76,False,21.45,0.0,21.45
bet_00099,2923,single,Basketball,2.77,False,101.1,0.0,101.1
bet_00100,4808,single,Handball,1.1,False,8.6,0.0,8.6
bet_00101,2787,single,Football,2.37,True,159.35,377.66,-218.31
bet_00102,3168,single,Tennis,1.63,True,69.55,113.37,-43.82
bet_00103,1023,multiple,Ice Hockey,4.86,False,68.85,0.0,68.85
bet_00104,3622,single,Tennis,11.97,False,5.9,0.0,5.9
bet_00105,717,single,Football,1.1,True,102.15,112.36,-10.21
bet_00106,2157,single,Tennis,1.1,True,239.45,263.4,-23.95
bet_00107,358,single,Tennis,7.2,True,253.95,1828.44,-1574.49
bet_00108,1350,single,Volleyball,1.1,True,18.5,20.35,-1.85
bet_00109,3886,single,Football,1.1,False,29.45,0.0,29.45
bet_00110,4042,single,Football,3.44,True,216.05,743.21,-527.16
bet_00111,3820,multiple,Football,9.78,False,391.35,0.0,391.35
bet_00112,2145,single,Football,11.2,False,18.65,0.0,18.65
bet_00113,2770,multiple,Ice Hockey,3.91,False,15.3,0.0,15.3
bet_00114,3457,single,Football,1.1,True,166.85,183.54,-16.69
bet_00115,2809,single,Football,12.0,False,5.55,0.0,5.55
bet_00116,43,multiple,Tennis,14.45,False,52.9,0.0,52.9
bet_00117,4028,single,Tennis,1.1,False,85.0,0.0,85.0
bet_00118,3595,single,Football,4.04,False,6.9,0.0,6.9
bet_00119,4569,single,Football,4.06,False,17.95,0.0,17.95
bet_00120,1297,multiple,Football,1.7,False,1.45,0.0,1.45
bet_00121,912,single,Ice Hockey,7.6,False,21.6,0.0,21.6
bet_00122,665,multiple,Football,21.14,False,21.15,0.0,21.15
bet_00123,1781,multiple,Volleyball,7.34,False,83.9,0.0,83.9
bet_00124,228,single,Football,11.77,False,19.65,0.0,19.65
bet_00125,924,multiple,Badminton,1.64,False,139.0,0.0,139.0
bet_00126,1070,single,Baseball,1.1,True,166.35,182.98,-16.63
bet_00127,4176,single,Handball,9.44,False,13.95,0.0,13.95
bet_00128,315,single,Football,2.77,True,79.15,219.25,-140.1
bet_00129,4057,single,Rugby,2.52,True,130.5,328.86,-198.36
bet_00130,4541,multiple,Football,8.4,False,406.75,0.0,406.75
bet_00131,3456,single,Tennis,1.1,False,35.25,0.0,35.25
bet_00132,2787,single,Tennis,1.1,False,79.55,0.0,79.55
bet_00133,2217,multiple,Tennis,1.11,True,90.3,100.23,-9.93
bet_00134,279,single,Tennis,12.0,False,8.9,0.0,8.9
bet_00135,1010,single,Football,1.1,True,67.2,73.92,-6.72
bet_00136,2279,multiple,Football,1.11,True,4.75,5.27,-0.52
bet_00137,847,multiple,Basketball,3.16,False,12.5,0.0,12.5
bet_00138,3158,multiple,Football,13.0,False,8.25,0.0,8.25
bet_00139,1095,multiple,Tennis,10.62,False,859.2,0.0,859.2
bet_00140,3236,multiple,Tennis,2.76,False,228.35,0.0,228.35
bet_00141,823,multiple,Football,10.13,False,7.65,0.0,7.65
bet_00142,554,multiple,Football,1.11,False,783.35,0.0,783.35
bet_00143,4339,single,Football,1.25,True,61.3,76.62,-15.32
bet_00144,2211,single,Ice Hockey,4.29,False,15.7,0.0,15.7
bet_00145,997,single,Football,2.6,False,5.75,0.0,5.75
bet_00146,267,single,Basketball,7.43,False,20.0,0.0,20.0
bet_00147,2665,single,Football,2.12,True,12.7,26.92,-14.22
bet_00148,3548,multiple,Football,1.14,False,321.95,0.0,321.95
bet_00149,3650,single,Volleyball,1.98,False,62.85,0.0,62.85
bet_00150,2956,single,Ice Hockey,7.64,True,39.0,297.96,-258.96
bet_00151,1164,single,Snooker,9.68,False,4.0,0.0,4.0
bet_00152,2423,multiple,Football,4.52,False,51.25,0.0,51.25
bet_00153,1454,single,Basketball,1.1,True,183.75,202.13,-18.38
bet_00154,3825,single,Football,3.92,False,21.7,0.0,21.7
bet_00155,2951,single,Rugby,6.31,False,79.3,0.0,79.3
bet_00156,3082,multiple,Volleyball,8.6,False,247.8,0.0,247.8
bet_00157,1249,single,Snooker,1.1,True,169.9,186.89,-16.99
bet_00158,402,single,Football,11.27,False,483.05,0.0,483.05
bet_00159,3982,single,Handball,4.45,False,43.9,0.0,43.9
bet_00160,4797,multiple,Football,1.24,True,203.55,252.4,-48.85
bet_00161,4176,single,Football,1.1,True,46.4,51.04,-4.64
bet_00162,1777,multiple,Volleyball,6.26,False,102.35,0.0,102.35
bet_00163,2151,single,Football,4.0,False,153.85,0.0,153.85
bet_00164,3947,single,Football,4.69,False,231.75,0.0,231.75
bet_00165,4130,multiple,Tennis,2.34,False,314.65,0.0,314.65
bet_00166,4107,single,Football,10.78,False,7.65,0.0,7.65
bet_00167,770,single,Snooker,4.33,False,246.3,0.0,246.3
bet_00168,1115,multiple,Tennis,2.31,False,56.2,0.0,56.2
bet_00169,3343,single,Tennis,8.58,False,228.2,0.0,228.2
bet_00170,3554,multiple,Tennis,9.3,False,106.95,0.0,106.95
bet_00171,2229,single,Football,1.37,False,373.95,0.0,373.95
bet_00172,2056,single,Football,1.86,False,50.85,0.0,50.85
bet_00173,2544,single,Tennis,5.9,True,100.5,592.95,-492.45
bet_00174,2844,single,Football,1.69,True,369.05,623.69,-254.64
bet_00175,2132,single,Football,2.0,False,154.4,0.0,154.4
bet_00176,3526,single,Football,3.78,False,18.7,0.0,18.7
bet_00177,1883,single,Tennis,1.1,True,7.65,8.42,-0.77
bet_00178,16,multiple,Football,4.77,False,431.7,0.0,431.7
bet_00179,81,single,Football,1.1,True,16.15,17.76,-1.61
bet_00180,1526,multiple,Football,9.12,True,117.25,1069.32,-952.07
bet_00181,1387,single,Ice Hockey,1.1,False,49.1,0.0,49.1
bet_00182,3201,multiple,Football,18.21,False,17.0,0.0,17.0
bet_00183,121,multiple,Table Tennis,3.89,False,46.2,0.0,46.2
bet_00184,4566,multiple,Baseball,2.18,True,216.95,472.95,-256.0
bet_00185,831,multiple,Ice Hockey,3.99,True,396.55,1582.23,-1185.68
bet_00186,4003,multiple,Basketball,2.12,False,112.05,0.0,112.05
bet_00187,1605,multiple,Football,19.27,True,947.2,18252.54,-17305.34
bet_00188,891,single,Football,1.1,True,54.95,60.45,-5.5
bet_00189,184,multiple,Tennis,6.11,True,98.45,601.53,-503.08
bet_00190,4212,single,Football,2.16,True,164.35,355.0,-190.65
bet_00191,1593,multiple,Tennis,12.5,False,48.7,0.0,48.7
bet_00192,2114,multiple,Football,16.27,False,36.15,0.0,36.15
bet_00193,1196,single,Football,8.01,False,5.9,0.0,5.9
bet_00194,3146,multiple,Tennis,3.25,False,210.85,0.0,210.85
bet_00195,459,single,Football,2.05,True,185.9,381.1,-195.2
bet_00196,201,single,Basketball,1.35,True,205.15,276.95,-71.8
bet_00197,937,multiple,Basketball,5.58,False,111.7,0.0,111.7
bet_00198,1491,single,Table Tennis,3.64,False,374.8,0.0,374.8
bet_00199,1615,multiple,Tennis,1.11,True,112.6,124.99,-12.39
bet_00200,1209,single,Tennis,1.1,True,46.15,50.76,-4.61
bet_00201,725,multiple,Football,2.1,True,182.0,382.2,-200.2
bet_00202,3665,multiple,Football,1.84,True,4.5,8.28,-3.78
bet_00203,3810,single,Tennis,1.1,True,91.5,100.65,-9.15
bet_00204,3350,multiple,Football,4.07,False,242.35,0.0,242.35
bet_00205,1386,single,Volleyball,1.19,False,192.65,0.0,192.65
bet_00206,2897,multiple,Snooker,14.3,False,3.6,0.0,3.6
bet_00207,4530,single,Volleyball,6.04,False,300.8,0.0,300.8
bet_00208,224,multiple,Tennis,1.36,False,140.75,0.0,140.75
bet_00209,1564,single,Rugby,1.1,False,92.25,0.0,92.25
bet_00210,345,single,Tennis,3.73,False,91.4,0.0,91.4
bet_00211,3744,multiple,Football,6.5,False,10.5,0.0,10.5
bet_00212,787,multiple,Snooker,3.07,False,8.7,0.0,8.7
bet_00213,3535,multiple,Football,1.11,True,65.35,72.54,-7.19
bet_00214,438,single,Football,4.15,False,953.2,0.0,953.2
bet_00215,3459,multiple,Football,4.48,False,40.85,0.0,40.85
bet_00216,3063,single,Tennis,7.87,False,238.65,0.0,238.65
bet_00217,4437,single,Table Tennis,12.0,False,187.1,0.0,187.1
bet_00218,3983,multiple,Badminton,2.44,False,400.85,0.0,400.85
bet_00219,288,multiple,Football,3.09,False,149.05,0.0,149.05
bet_00220,45,multiple,Baseball,1.11,True,83.65,92.85,-9.2
bet_00221,2221,multiple,Volleyball,11.46,False,124.5,0.0,124.5
bet_00222,3080,single,Football,2.88,False,6.1,0.0,6.1
bet_00223,3440,multiple,Handball,1.11,True,213.4,236.87,-23.47
bet_00224,1614,single,Tennis,3.57,False,120.2,0.0,120.2
bet_00225,2760,single,Tennis,3.22,False,35.7,0.0,35.7
bet_00226,1693,multiple,Football,1.74,True,164.2,285.71,-121.51
bet_00227,2738,multiple,Tennis,3.92,False,56.85,0.0,56.85
bet_00228,2706,single,Basketball,1.1,True,1.45,1.6,-0.15
bet_00229,3324,multiple,Football,7.81,False,47.2,0.0,47.2
bet_00230,3257,single,Football,12.0,False,266.45,0.0,266.45
bet_00231,1725,single,Football,1.71,True,5.0,8.55,-3.55
bet_00232,2316,single,Handball,3.76,False,111.4,0.0,111.4
bet_00233,3786,multiple,Volleyball,20.82,False,125.7,0.0,125.7
bet_00234,4323,multiple,Football,6.02,False,307.3,0.0,307.3
bet_00235,4674,single,Football,1.1,True,67.15,73.87,-6.72
bet_00236,1952,single,Football,2.28,True,30.6,69.77,-39.17
bet_00237,4402,single,Ice Hockey,4.16,False,225.45,0.0,225.45
bet_00238,174,single,Football,3.23,True,80.6,260.34,-179.74
bet_00239,2769,single,Football,7.02,False,42.35,0.0,42.35
bet_00240,2087,multiple,Football,3.98,False,11.85,0.0,11.85
bet_00241,4035,single,Basketball,1.1,True,38.6,42.46,-3.86
bet_00242,3087,multiple,Football,12.32,False,987.25,0.0,987.25
bet_00243,4366,single,Tennis,4.97,False,84.85,0.0,84.85
bet_00244,3111,multiple,Tennis,1.11,False,23.2,0.0,23.2
bet_00245,2454,single,Football,8.85,False,76.55,0.0,76.55
bet_00246,2017,single,Football,2.97,False,43.75,0.0,43.75
bet_00247,3302,single,Football,8.36,True,59.3,495.75,-436.45
bet_00248,3583,single,Table Tennis,11.88,False,20.45,0.0,20.45
bet_00249,1684,multiple,Football,1.11,True,175.7,195.03,-19.33
bet_00250,1027,single,Football,2.82,False,940.75,0.0,940.75
bet_00251,417,single,Football,6.57,False,498.55,0.0,498.55
bet_00252,2821,multiple,Ice Hockey,1.11,True,213.35,236.82,-23.47
bet_00253,1160,single,Tennis,4.47,False,171.4,0.0,171.4
bet_00254,1265,single,Tennis,6.02,False,802.0,0.0,802.0
bet_00255,2851,single,Basketball,2.8,False,54.7,0.0,54.7
bet_00256,975,single,Football,1.1,True,8.65,9.52,-0.87
bet_00257,3661,single,Tennis,5.47,True,75.4,412.44,-337.04
bet_00258,4215,single,Tennis,1.1,True,8.5,9.35,-0.85
bet_00259,4688,multiple,Basketball,3.46,True,111.5,385.79,-274.29
bet_00260,164,multiple,Basketball,4.27,False,3.9,0.0,3.9
bet_00261,678,multiple,Ice Hockey,3.78,False,58.2,0.0,58.2
bet_00262,2649,single,Tennis,7.47,True,83.15,621.13,-537.98
bet_00263,4821,single,Football,1.1,True,81.45,89.6,-8.15
bet_00264,1660,single,Tennis,4.1,False,156.65,0.0,156.65
bet_00265,1470,single,Tennis,1.1,True,36.45,40.1,-3.65
bet_00266,1969,multiple,Basketball,3.43,False,32.75,0.0,32.75
bet_00267,1719,single,Handball,3.34,False,172.45,0.0,172.45
bet_00268,3055,single,Volleyball,1.1,True,236.75,260.42,-23.67
bet_00269,344,single,Volleyball,1.1,False,59.8,0.0,59.8
bet_00270,2901,single,Football,1.1,False,51.05,0.0,51.05
bet_00271,4100,multiple,Tennis,7.73,False,209.7,0.0,209.7
bet_00272,3534,multiple,Baseball,7.18,False,190.3,0.0,190.3
bet_00273,4050,single,Football,7.22,False,92.8,0.0,92.8
bet_00274,3990,multiple,Basketball,1.11,True,2.75,3.05,-0.3
bet_00275,1937,single,Football,2.73,False,382.9,0.0,382.9
bet_00276,4166,multiple,Football,4.83,True,10.15,49.02,-38.87
bet_00277,4917,single,Football,5.37,True,60.0,322.2,-262.2
bet_00278,1966,single,Football,5.16,False,9.45,0.0,9.45
bet_00279,359,single,Football,3.59,True,12.75,45.77,-33.02
bet_00280,4157,single,Volleyball,2.37,False,124.2,0.0,124.2
bet_00281,2506,multiple,Football,7.42,False,39.95,0.0,39.95
bet_00282,579,multiple,Tennis,7.37,False,113.0,0.0,113.0
bet_00283,905,multiple,Tennis,11.87,False,83.9,0.0,83.9
bet_00284,912,multiple,Tennis,1.11,False,4.65,0.0,4.65
bet_00285,599,single,Snooker,3.42,False,55.85,0.0,55.85
bet_00286,1326,single,Football,6.75,True,298.55,2015.21,-1716.66
bet_00287,3858,multiple,Football,8.63,False,9.4,0.0,9.4
bet_00288,293,multiple,Tennis,7.25,False,1.7,0.0,1.7
bet_00289,5,single,Tennis,6.97,False,14.8,0.0,14.8
bet_00290,4627,single,Football,4.28,True,97.5,417.3,-319.8
bet_00291,1845,single,Football,1.1,True,121.4,133.54,-12.14
bet_00292,2422,single,Football,5.78,False,5.45,0.0,5.45
bet_00293,2555,multiple,Football,30.17,False,141.5,0.0,141.5
bet_00294,2688,single,Football,6.61,False,48.75,0.0,48.75
bet_00295,1024,single,Football,3.96,True,152.55,604.1,-451.55
bet_00296,2315,single,Football,2.08,False,69.1,0.0,69.1
bet_00297,3777,single,Football,1.31,True,169.0,221.39,-52.39
bet_00298,4874,multiple,Football,1.11,False,354.6,0.0,354.6
bet_00299,3222,multiple,Football,1.11,True,7.8,8.66,-0.86
bet_00300,2624,single,Tennis,2.19,False,21.5,0.0,21.5
bet_00301,2204,multiple,Tennis,16.59,False,27.1,0.0,27.1
bet_00302,3556,multiple,Football,25.6,False,38.05,0.0,38.05
bet_00303,4836,single,Table Tennis,2.98,False,31.1,0.0,31.1
bet_00304,457,single,Football,7.3,False,137.7,0.0,137.7
bet_00305,2647,multiple,Ice Hockey,1.11,False,197.8,0.0,197.8
bet_00306,3732,single,Basketball,1.1,True,94.75,104.22,-9.47
bet_00307,4539,single,Volleyball,12.0,False,88.75,0.0,88.75
bet_00308,3502,multiple,Football,2.89,False,308.25,0.0,308.25
bet_00309,547,single,Basketball,12.0,False,79.85,0.0,79.85
bet_00310,4429,multiple,Snooker,3.37,False,42.05,0.0,42.05
bet_00311,873,single,Football,1.14,True,224.95,256.44,-31.49
bet_00312,2751,multiple,Football,4.7,False,454.4,0.0,454.4
bet_00313,333,multiple,Tennis,2.09,False,23.65,0.0,23.65
bet_00314,3530,single,Handball,6.33,False,78.5,0.0,78.5
bet_00315,1605,single,Formula 1,5.68,False,563.0,0.0,563.0
bet_00316,4913,single,Tennis,2.17,False,222.7,0.0,222.7
bet_00317,4152,single,Football,1.69,True,100.2,169.34,-69.14
bet_00318,461,single,Tennis,4.53,True,19.05,86.3,-67.25
bet_00319,156,single,Football,1.5,False,5.85,0.0,5.85
bet_00320,3724,multiple,Football,2.39,False,99.75,0.0,99.75
bet_00321,129,single,Handball,7.06,False,67.8,0.0,67.8
bet_00322,40,single,Football,1.1,True,77.6,85.36,-7.76
bet_00323,3900,single,Tennis,5.09,False,974.45,0.0,974.45
bet_00324,1824,single,Football,1.1,True,17.05,18.76,-1.71
bet_00325,4193,multiple,Snooker,2.64,True,102.2,269.81,-167.61
bet_00326,2394,multiple,Ice Hockey,5.05,False,461.55,0.0,461.55
bet_00327,2295,single,Football,1.53,True,496.5,759.64,-263.14
bet_00328,293,single,Ice Hockey,1.47,True,4.85,7.13,-2.28
bet_00329,138,multiple,Football,3.94,False,175.7,0.0,175.7
bet_00330,4239,single,Football,9.1,False,286.95,0.0,286.95
bet_00331,156,multiple,Tennis,16.77,False,9.2,0.0,9.2
bet_00332,3177,single,Tennis,12.0,False,387.4,0.0,387.4
bet_00333,3136,single,Football,1.2,False,40.2,0.0,40.2
bet_00334,80,single,Table Tennis,1.1,True,126.6,139.26,-12.66
bet_00335,2993,single,Football,1.15,True,168.55,193.83,-25.28
bet_00336,4540,multiple,Table Tennis,1.11,True,23.1,25.64,-2.54
bet_00337,1887,single,Football,2.52,False,62.55,0.0,62.55
bet_00338,2682,multiple,Football,1.11,True,67.7,75.15,-7.45
bet_00339,1625,multiple,Ice Hockey,3.88,False,213.2,0.0,213.2
bet_00340,23,single,Football,1.1,True,177.6,195.36,-17.76
bet_00341,343,single,Basketball,1.1,False,299.8,0.0,299.8
bet_00342,2447,single,Football,7.2,True,222.35,1600.92,-1378.57
bet_00343,4282,single,Rugby,1.45,True,309.9,449.35,-139.45
bet_00344,2064,single,Table Tennis,2.34,True,171.55,401.43,-229.88
bet_00345,4886,multiple,Football,23.65,False,21.45,0.0,21.45
bet_00346,670,single,Football,3.77,False,53.55,0.0,53.55
bet_00347,2216,single,Tennis,1.56,True,47.6,74.26,-26.66
bet_00348,3407,multiple,Football,1.91,False,132.75,0.0,132.75
bet_00349,3768,single,Football,1.85,False,127.45,0.0,127.45
bet_00350,1654,single,Volleyball,3.64,False,435.45,0.0,435.45
bet_00351,747,single,Formula 1,1.29,True,38.35,49.47,-11.12
bet_00352,3080,single,Tennis,7.52,False,5.55,0.0,5.55
bet_00353,2947,single,Basketball,1.1,True,235.5,259.05,-23.55
bet_00354,1045,single,Football,12.0,False,188.65,0.0,188.65
bet_00355,4390,multiple,Football,1.11,False,19.6,0.0,19.6
bet_00356,2375,single,Tennis,1.1,False,5.05,0.0,5.05
bet_00357,1254,multiple,Football,1.11,True,100.65,111.72,-11.07
bet_00358,2242,single,Football,4.01,False,117.3,0.0,117.3
bet_00359,1658,single,Football,2.55,False,78.85,0.0,78.85
bet_00360,3946,multiple,Baseball,7.68,True,89.4,686.59,-597.19
bet_00361,4679,single,Football,2.77,False,180.35,0.0,180.35
bet_00362,3938,multiple,Table Tennis,9.9,False,94.5,0.0,94.5
bet_00363,2751,multiple,Tennis,11.68,True,411.45,4805.74,-4394.29
bet_00364,2777,single,Basketball,1.52,True,432.1,656.79,-224.69
bet_00365,3466,single,Football,1.1,True,13.6,14.96,-1.36
bet_00366,3217,multiple,Football,1.11,True,9.65,10.71,-1.06
bet_00367,1417,single,Football,2.82,True,53.4,150.59,-97.19
bet_00368,669,multiple,Tennis,1.11,False,79.8,0.0,79.8
bet_00369,3188,single,Football,4.33,False,954.0,0.0,954.0
bet_00370,3785,single,Football,1.1,True,95.6,105.16,-9.56
bet_00371,2243,multiple,Football,1.8,True,497.65,895.77,-398.12
bet_00372,4810,multiple,Football,2.23,False,1.5,0.0,1.5
bet_00373,4752,multiple,Football,3.48,False,779.7,0.0,779.7
bet_00374,2991,single,Football,1.1,True,497.6,547.36,-49.76
bet_00375,4373,single,Football,5.87,False,310.25,0.0,310.25
bet_00376,665,single,Football,2.68,True,10.95,29.35,-18.4
bet_00377,489,multiple,Football,9.47,False,8.7,0.0,8.7
bet_00378,3843,single,Football,2.88,False,124.65,0.0,124.65
bet_00379,3302,single,Ice Hockey,1.1,False,31.75,0.0,31.75
bet_00380,1309,multiple,Volleyball,2.09,True,18.25,38.14,-19.89
bet_00381,1622,single,Ice Hockey,1.1,False,776.25,0.0,776.25
bet_00382,4144,single,Basketball,3.2,False,47.4,0.0,47.4
bet_00383,3870,single,Football,2.94,True,102.9,302.53,-199.63
bet_00384,3222,single,Table Tennis,2.54,False,11.9,0.0,11.9
bet_00385,3040,single,Football,3.45,True,38.05,131.27,-93.22
bet_00386,4501,single,Tennis,1.1,True,89.7,98.67,-8.97
bet_00387,1054,single,Football,1.1,True,14.35,15.78,-1.43
bet_00388,3960,single,Football,1.1,True,219.65,241.62,-21.97
bet_00389,1301,multiple,Tennis,4.72,True,177.75,838.98,-661.23
bet_00390,3895,single,Football,1.1,True,84.25,92.68,-8.43
bet_00391,738,multiple,Football,3.89,False,123.7,0.0,123.7
bet_00392,4258,single,Football,5.6,False,18.75,0.0,18.75
bet_00393,1880,single,Football,1.75,False,0.7,0.0,0.7
bet_00394,3634,multiple,Football,45.63,False,123.2,0.0,123.2
bet_00395,3731,single,Ice Hockey,3.36,False,16.45,0.0,16.45
bet_00396,953,single,Handball,7.54,False,99.5,0.0,99.5
bet_00397,2443,multiple,Football,1.11,True,49.05,54.45,-5.4
bet_00398,288,single,Basketball,3.6,True,99.7,358.92,-259.22
bet_00399,2492,multiple,Tennis,1.11,True,8.25,9.16,-0.91
bet_00400,4380,single,Tennis,3.73,False,12.6,0.0,12.6
bet_00401,778,single,Football,4.3,False,29.55,0.0,29.55
bet_00402,3323,single,Football,2.23,True,7.35,16.39,-9.04
bet_00403,1876,single,Football,1.24,True,158.0,195.92,-37.92
bet_00404,3102,multiple,Football,1.47,False,51.85,0.0,51.85
bet_00405,4407,single,Ice Hockey,2.03,False,479.05,0.0,479.05
bet_00406,1491,single,Football,3.79,False,440.0,0.0,440.0
bet_00407,402,single,Handball,1.31,True,439.7,576.01,-136.31
